bank_name,transaction_date,year,month_num,month_name,debit_transactions,debit_amount,credit_transactions,credit_amount,total_transactions,total_amount,avg_debit_ticket_size,avg_credit_ticket_size,net_amount_flow
PARSIK JANATA SAHAKARI BANK,2010-02-01,2010,2,February,84,4.889,1014,28.297,1098,33.186,0.05820238095238096,0.027906311637080867,23.408
PUNJAB AND MAHARASHTRA CO-OP BANK,2010-02-01,2010,2,February,460,10.464,3196,116.903,3656,127.367,0.022747826086956524,0.0365779098873592,106.43900000000001
PUNJAB AND SIND BANK,2010-02-01,2010,2,February,823,103.752,5313,316.134,6136,419.886,0.1260656136087485,0.059501976284584986,212.382
PUNJAB NATIONAL BANK,2010-02-01,2010,2,February,66241,2278.203,202862,15819.665,269103,18097.868000000002,0.034392642019293186,0.07798239690035591,13541.462000000001
RATNAKAR BANK,2010-02-01,2010,2,February,211,9.231,863,52.009,1074,61.24,0.043748815165876774,0.06026535341830823,42.778
RBI PAD,2010-02-01,2010,2,February,3650,29045.498,74,10.459,3724,29055.957,7.957670684931506,0.14133783783783782,-29035.039
SARASWAT CO-OP BANK,2010-02-01,2010,2,February,1602,65.236,14074,1148.936,15676,1214.172,0.04072159800249688,0.08163535597555777,1083.6999999999998
SBBJ BANK,2010-02-01,2010,2,February,22441,979.638,39720,1404.593,62161,2384.231,0.043653936990330204,0.03536236153071501,424.95500000000004
SHAMRAO VITHAL CO-OP BANK,2010-02-01,2010,2,February,1580,79.443,4676,512.078,6256,591.521,0.05028037974683544,0.10951197604790419,432.635
SHINHAN BANK,2010-02-01,2010,2,February,1426,153.568,92,35.08,1518,188.64800000000002,0.10769144460028052,0.38130434782608696,-118.48800000000001
SOCIETE GENERALE,2010-02-01,2010,2,February,113,3.717,37,8.937,150,12.654,0.032893805309734514,0.24154054054054053,5.219999999999999
SOUTH INDIAN BANK,2010-02-01,2010,2,February,18839,760.318,29909,1160.892,48748,1921.21,0.040358723923775146,0.03881413621317998,400.57400000000007
STANDARD CHARTERED BANK,2010-02-01,2010,2,February,396177,24691.183,115826,14108.425,512003,38799.608,0.06232361545470838,0.12180706404434237,-10582.758000000002
STATE BANK OF HYDERABAD,2010-02-01,2010,2,February,49221,2868.727,85208,3364.089,134429,6232.816,0.05828258263749213,0.039480905548774765,495.3620000000001
STATE BANK OF INDIA,2010-02-01,2010,2,February,522827,28887.618,1070325,58918.599,1593152,87806.217,0.05525272795781396,0.05504739121294934,30030.981000000003
STATE BANK OF INDORE,2010-02-01,2010,2,February,11525,486.736,26244,1630.877,37769,2117.613,0.04223305856832972,0.06214285169943606,1144.141
STATE BANK OF MAURITIUS,2010-02-01,2010,2,February,50,1.612,103,34.861,153,36.473,0.032240000000000005,0.3384563106796116,33.248999999999995
STATE BANK OF MYSORE,2010-02-01,2010,2,February,24765,880.3,47222,2197.605,71987,3077.9049999999997,0.035546133656369876,0.04653773664817246,1317.305
STATE BANK OF PATIALA,2010-02-01,2010,2,February,13072,583.802,30188,1703.307,43260,2287.109,0.044660495716034275,0.05642331389956274,1119.505
STATE BANK OF TRAVANCORE,2010-02-01,2010,2,February,77182,3589.62,93419,3151.605,170601,6741.225,0.04650851234743852,0.03373623138761922,-438.0149999999999
SYNDICATE BANK,2010-02-01,2010,2,February,33136,1159.642,108665,4701.123,141801,5860.764999999999,0.03499643891839691,0.04326253163392076,3541.4809999999998
TAMIL NADU STATE APEX CO-OP BANK,2010-02-01,2010,2,February,212,3.768,327,7.275,539,11.043,0.017773584905660375,0.02224770642201835,3.5070000000000006
TAMILNADU MERCANTILE BANK,2010-02-01,2010,2,February,5643,222.756,17812,680.284,23455,903.04,0.039474747474747475,0.0381924545250393,457.528
THANE JANATA SAHAKARI BANK,2010-02-01,2010,2,February,903,30.459,4319,272.341,5222,302.8,0.03373089700996678,0.06305649455892567,241.882
UCO BANK,2010-02-01,2010,2,February,6289,317.952,25951,1246.504,32240,1564.456,0.05055684528541898,0.04803298524141651,928.5519999999999
UNION BANK OF INDIA,2010-02-01,2010,2,February,45547,1630.104,144572,7246.144,190119,8876.248,0.03578949217292028,0.050121351299006724,5616.04
UNITED BANK OF INDIA,2010-02-01,2010,2,February,10883,1442.734,23715,828.071,34598,2270.805,0.13256767435449784,0.03491760489141894,-614.6629999999999
VIJAYA BANK,2010-02-01,2010,2,February,17783,571.852,53359,2659.631,71142,3231.4829999999997,0.032157228814035876,0.04984409377986843,2087.779
YES BANK,2010-02-01,2010,2,February,197795,4370.122,11763,1139.89,209558,5510.012000000001,0.022094198538891278,0.09690470118167135,-3230.232
ABHYUDAYA CO-OP BANK,2010-03-01,2010,3,March,2341,93.36,8379,265.985,10720,359.345,0.03988039299444682,0.03174424155627163,172.625
ROYAL BANK OF SCOTLAND N.V,2010-03-01,2010,3,March,119941,8036.17,95470,6426.564,215411,14462.734,0.06700102550420624,0.06731500995076987,-1609.6059999999998
ABU DHABI COMMERCIAL BANK,2010-03-01,2010,3,March,390,9.734,228,14.775,618,24.509,0.02495897435897436,0.06480263157894738,5.041
AHMEDABAD MERCANTILE CO-OP BANK,2010-03-01,2010,3,March,228,10.56,901,22.269,1129,32.829,0.04631578947368421,0.02471587125416204,11.708999999999998
ALLAHABAD BANK,2010-03-01,2010,3,March,15418,725.71,34762,1528.334,50180,2254.044,0.04706901024776236,0.04396565214889822,802.624
ANDHRA BANK,2010-03-01,2010,3,March,37904,2589.426,104624,5334.27,142528,7923.696,0.06831537568594344,0.050985146811439064,2744.8440000000005
AXIS BANK,2010-03-01,2010,3,March,462383,16201.284,488859,21856.371,951242,38057.655,0.035038667079023235,0.044708946751517306,5655.0869999999995
BANK N PARIBAS,2010-03-01,2010,3,March,25807,1311.081,18025,4430.515,43832,5741.5960000000005,0.05080330917967993,0.2457983356449376,3119.434
BANK OF AMERICA,2010-03-01,2010,3,March,86974,10707.412,5956,2215.822,92930,12923.234,0.12311049279094902,0.37203190060443253,-8491.59
BANK OF BAHARIEN AND KUWAIT,2010-03-01,2010,3,March,31664,910.098,586,23.143,32250,933.241,0.028742357251136937,0.03949317406143345,-886.9549999999999
BANK OF BARODA,2010-03-01,2010,3,March,80714,3218.172,199523,9696.179,280237,12914.351,0.03987129865946428,0.04859679836409837,6478.007
BANK OF CEYLON,2010-03-01,2010,3,March,137,2.747,51,1.388,188,4.135,0.020051094890510948,0.027215686274509803,-1.359
BANK OF INDIA,2010-03-01,2010,3,March,63599,2318.077,216929,9590.295,280528,11908.372,0.03644832465919276,0.04420937265188149,7272.218
BANK OF MAHARASHTRA,2010-03-01,2010,3,March,14749,567.589,63028,3226.771,77777,3794.36,0.03848321920130179,0.051195833597766076,2659.1820000000002
